Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
100532;Templeton India Income Builder Account-Monthly Bonus;18.4059;18.4059;18.4059;20-Sep-2007
100530;Templeton India Income Builder Account-Quarterly;13.5201;13.5201;13.5201;20-Sep-2007
100498;Templeton India Income Fund-Dividend;10.7334;10.7334;10.7334;20-Sep-2007
100499;Templeton India Income Fund-Growth;27.0177;27.0177;27.0177;20-Sep-2007
101232;Templeton India Short-Term Income Plan-Growth;1444.6850;1444.6850;1444.6850;20-Sep-2007
101244;Templeton India Short-Term Income Plan-Institutional Plan - Growth;1155.4221;1152.5335;1155.4221;20-Sep-2007
101246;Templeton India Short-Term Income Plan-Institutional Plan - Monthly Dividend;1061.6949;1059.0407;1061.6949;20-Sep-2007
101245;Templeton India Short-Term Income Plan-Institutional Plan - Weekly Dividend;1011.3587;1008.8303;1011.3587;20-Sep-2007
101236;Templeton India Short-Term Income Plan-Monthly Dividend;1034.9690;1034.9690;1034.9690;20-Sep-2007
101238;Templeton India Short-Term Income Plan-Quarterly Dividend;1052.8624;1052.8624;1052.8624;20-Sep-2007
101237;Templeton India Short-Term Income Plan-Weekly Bonus;1058.6483;1058.6483;1058.6483;20-Sep-2007
101242;Templeton India Short-Term Income Plan-Weekly Dividend;1087.8745;1087.8745;1087.8745;20-Sep-2007
100506;Templeton Monthly Income Plan-Growth;21.4081;21.4081;21.4081;20-Sep-2007
100505;Templeton Monthly Income Plan-Half Yearly Dividend;13.0069;13.0069;13.0069;20-Sep-2007
100503;Templeton Monthly Income Plan-Monthly Dividend;10.4685;10.4685;10.4685;20-Sep-2007
100504;Templeton Monthly Income Plan-Quaterly Dividend;10.4871;10.4871;10.4871;20-Sep-2007
105469;Templeton Quarterly Interval Plan - Plan A - Institutional - Dividend;10.0850;10.0850;10.0850;20-Sep-2007
105468;Templeton Quarterly Interval Plan - Plan A - Institutional - Growth;10.3485;10.3485;10.3485;20-Sep-2007
105467;Templeton Quarterly Interval Plan - Plan A - Retail - Dividend;10.0809;10.0809;10.0809;20-Sep-2007
105470;Templeton Quarterly Interval Plan - Plan A - Retail - Growth;10.3379;10.3379;10.3379;20-Sep-2007

105707;Templeton Quarterly Interval Plan - Plan B - Institutional - Dividend;10.0645;10.0645;10.0645;20-Sep-2007
105706;Templeton Quarterly Interval Plan - Plan B - Institutional - Growth;10.3246;10.3246;10.3246;20-Sep-2007
105705;Templeton Quarterly Interval Plan - Plan B - Retail - Dividend;10.0624;10.0624;10.0624;20-Sep-2007
105704;Templeton Quarterly Interval Plan - Plan B - Retail - Growth;10.3159;10.3159;10.3159;20-Sep-2007
106054;Templeton Quarterly Interval Plan - Plan C - Institutional Plan - Dividend;10.1968;10.1968;10.1968;20-Sep-2007
106056;Templeton Quarterly Interval Plan - Plan C - Retail Plan - Dividend;10.1908;10.1908;10.1908;20-Sep-2007
106055;Templeton Quarterly Interval Plan - Plan C - Retail Plan - Growth;10.1908;10.1908;10.1908;20-Sep-2007

HDFC Mutual Fund
105548;HDFC Cash Management Savings Plus - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;20-Sep-2007
105543;HDFC Cash Management Savings Plus - Retail Plan Monthly Dividend Option;10.0578;10.0578;10.0578;20-Sep-2007
105547;HDFC Cash Management Savings Plus - Wholesale Plan Daily Dividend Option;10.0315;10.0315;10.0315;20-Sep-2007
105544;HDFC Cash Management Savings Plus - Wholesale Plan Growth Option;16.8771;16.8771;16.8771;20-Sep-2007
105546;HDFC Cash Management Savings Plus - Wholesale Plan Monthly Dividend Option;10.0595;10.0595;10.0595;20-Sep-2007
105545;HDFC Cash Management Savings Plus - Wholesale Plan Weekly Dividend Option;10.0205;10.0205;10.0205;20-Sep-2007
102453;HDFC Cash Management Savings Plus-Dividend Plan;10.0203;10.0203;10.0203;20-Sep-2007
102452;HDFC Cash Management Savings Plus-Growth Plan;16.866;16.866;16.866;20-Sep-2007
101480;HDFC Floating Rate Income Fund-Short Term Plan-Dividend;0;0;0;19-Jun-2006
101483;HDFC Floating Rate Income Fund-Short Term Plan-Dividend - Daily;10.0809;10.0809;10.0809;20-Sep-2007
101484;HDFC Floating Rate Income Fund-Short Term Plan-Dividend - Monthly;10.1982;10.1982;10.1982;20-Sep-2007
101482;HDFC Floating Rate Income Fund-Short Term Plan-Dividend - Weekly;10.1423;10.1423;10.1423;20-Sep-2007
101481;HDFC Floating Rate Income Fund-Short Term Plan-Growth;13.0848;13.0848;13.0848;20-Sep-2007
101872;HDFC High Interest Fund-Growth Plan;25.3333;25.3333;25.3333;20-Sep-2007
101874;HDFC High Interest Fund-Half Yearly Dividend Plan;10.5813;10.5813;10.5813;20-Sep-2007
101873;HDFC High Interest Fund-Quarterly Dividend Plan;10.6904;10.6904;10.6904;20-Sep-2007
101875;HDFC High Interest Fund-Yearly Dividend Plan;11.0576;11.0576;11.0576;20-Sep-2007
101990;HDFC High Interest Fund - Short Term Plan-Dividend Option;10.6254;10.6254;10.6254;20-Sep-2007
101989;HDFC High Interest Fund - Short Term Plan-Growth Option;14.3081;14.3081;14.3081;20-Sep-2007
100123;HDFC Income Fund-Dividend;10.4644;10.4644;10.4644;20-Sep-2007
100124;HDFC Income Fund-Growth;17.3106;17.3106;17.3106;20-Sep-2007
102147;HDFC MF Monthly Income Plan-Long Term Plan-Growth Option;15.9354;15.9354;15.9354;20-Sep-2007
102148;HDFC MF Monthly Income Plan-Long Term Plan-Monthly Dividend Option;11.9592;11.9592;11.9592;20-Sep-2007
102149;HDFC MF Monthly Income Plan-Long Term Plan-Quarterly Dividend Option;12.3371;12.3371;12.3371;20-Sep-2007
102144;HDFC MF Monthly Income Plan-Short Term Plan-Growth Option;13.439;13.439;13.439;20-Sep-2007
102145;HDFC MF Monthly Income Plan-Short Term Plan-Monthly Dividend Option;10.2305;10.2305;10.2305;20-Sep-2007
102146;HDFC MF Monthly Income Plan-Short Term Plan-Quarterly Dividend Option;10.5949;10.5949;10.5949;20-Sep-2007
101586;HDFC MULTIPLE YIELD-HDFC MULTIPLE YIELD - DIVIDEND;10.8769;10.7681;10.9857;20-Sep-2007
101585;HDFC MULTIPLE YIELD-HDFC MULTIPLE YIELD - GROWTH;12.9039;12.7749;13.0329;20-Sep-2007
